iter	Logloss
0	0.5268207644
1	0.4253725173
2	0.3676185881
3	0.3312376054
4	0.308011866
5	0.2937532803
6	0.2838754739
7	0.2774200013
8	0.2727915805
9	0.2690414748
10	0.2658184909
11	0.2637942898
12	0.2620675549
13	0.2608034192
14	0.2592775282
15	0.258234955
16	0.2572526479
17	0.2563155655
18	0.2556684035
19	0.2550452926
20	0.2542399467
21	0.2537642473
22	0.2534414436
23	0.2531929516
24	0.2527835661
25	0.2525771886
26	0.252352303
27	0.2521459099
28	0.2519308383
29	0.2516485639
30	0.2514698268
31	0.2513044834
32	0.2511419358
33	0.2510358268
34	0.2508764894
35	0.2507352231
36	0.2506287382
37	0.2505541642
38	0.2504684942
39	0.2503833772
40	0.2503048231
41	0.2501024902
42	0.2499529953
43	0.2498645408
44	0.2497899377
45	0.2497212111
46	0.2496441775
47	0.2495690221
48	0.2494824963
49	0.2494153517
50	0.2493636912
51	0.2493229277
52	0.2492840715
53	0.2492275926
54	0.2491622976
55	0.2491313441
56	0.249073417
57	0.2490096426
58	0.2489846051
59	0.2489327605
60	0.2488809271
61	0.2488456067
62	0.2487842234
63	0.2487462775
64	0.2487099931
65	0.2486819074
66	0.2486488337
67	0.2486171794
68	0.2485949088
69	0.248559408
70	0.2485164413
71	0.2484856829
72	0.2484526308
73	0.248368991
74	0.2483501371
75	0.2483189489
76	0.248290025
77	0.2482650275
78	0.2482254886
79	0.2481958856
80	0.2481700896
81	0.2481533885
82	0.2481317137
83	0.2481067596
84	0.2480778249
85	0.2480596432
86	0.2480387593
87	0.2480055809
88	0.2479883306
89	0.247965576
90	0.2479469677
91	0.2479308661
92	0.247914266
93	0.2478964345
94	0.2478784149
95	0.2478583112
96	0.2478449907
97	0.2478293551
98	0.2478076407
99	0.2477873745
100	0.2477619865
101	0.2477489225
102	0.2477292632
103	0.247713292
104	0.2476961283
105	0.2476755803
106	0.2476560474
107	0.2476390717
108	0.2476240465
109	0.2476114664
110	0.2475986336
111	0.247585035
112	0.2475705767
113	0.2475239296
114	0.2475173597
115	0.2475020706
116	0.247484163
117	0.2474717455
118	0.2474612674
119	0.2474429842
120	0.2474296061
121	0.2474151084
122	0.2474045906
123	0.247395449
124	0.2473881531
125	0.2473784083
126	0.2473667384
127	0.2473572101
128	0.2473462337
129	0.247332285
130	0.2473174293
131	0.2473047734
132	0.2472910411
133	0.2472769115
134	0.2472695433
135	0.24726172
136	0.2472520331
137	0.2472437258
138	0.2472361336
139	0.2472277107
140	0.2472203787
141	0.2472088967
142	0.2471995818
143	0.247190061
144	0.2471813276
145	0.2471668477
146	0.2471599563
147	0.2471470261
148	0.2471362557
149	0.2471231448
150	0.2471169613
151	0.2471111498
152	0.2470990214
153	0.2470824285
154	0.2470745691
155	0.2470602841
156	0.2470445799
157	0.2470375403
158	0.2470311834
159	0.2470234038
160	0.2470113113
161	0.2469989623
162	0.2469863027
163	0.2469745642
164	0.2469645774
165	0.2469563062
166	0.2469481329
167	0.2469386848
168	0.2469255052
169	0.246918509
170	0.2469102523
171	0.246904336
172	0.2468916224
173	0.2468869848
174	0.2468773088
175	0.2468714251
176	0.2468642627
177	0.2468579131
178	0.2468512203
179	0.2468424579
180	0.2468319438
181	0.2468144372
182	0.2468047393
183	0.2467970426
184	0.2467868788
185	0.2467778166
186	0.246770109
187	0.246764135
188	0.2467581646
189	0.2467435187
190	0.2467376098
191	0.2467259579
192	0.2467182683
193	0.2467092856
194	0.2466956148
195	0.2466822905
196	0.2466747451
197	0.246669349
198	0.2466609297
199	0.2466539986
200	0.2466453229
201	0.2466370589
202	0.2466315978
203	0.2466279787
204	0.2466172189
205	0.2466081785
206	0.2465983831
207	0.246594085
208	0.2465861642
209	0.2465783089
210	0.2465722302
211	0.2465656457
212	0.2465583136
213	0.246548316
214	0.2465415872
215	0.2465365197
216	0.2465277286
217	0.2465155998
218	0.2465046234
219	0.24649857
220	0.2464918266
221	0.2464815689
222	0.2464769782
223	0.2464677969
224	0.2464618229
225	0.2464573442
226	0.2464522878
227	0.2464465088
228	0.2464378439
229	0.2464320071
