iter	Passed	Remaining
0	826	412320
1	1605	399740
2	2393	396462
3	3203	397202
4	4006	396600
5	4794	394755
6	5608	394973
7	6441	396142
8	7196	392607
9	7964	390245
10	8780	390332
11	9554	388533
12	10357	388015
13	11166	387645
14	12036	389180
15	12823	387918
16	13669	388377
17	14481	387781
18	15348	388562
19	16205	388927
20	17049	388900
21	17848	387801
22	18690	387633
23	19516	387072
24	20327	386226
25	21152	385625
26	21986	385162
27	22730	383175
28	23482	381382
29	24288	380518
30	25123	380091
31	25950	379525
32	26800	379274
33	27659	379092
34	28435	377791
35	29267	377224
36	30108	376760
37	30889	375555
38	31576	373247
39	32383	372411
40	33201	371692
41	33964	370377
42	34792	369767
43	35663	369603
44	36490	368957
45	37272	367861
46	38020	366451
47	38724	364658
48	39515	363702
49	40257	362315
50	41044	361352
51	41834	360418
52	42620	359458
53	43341	357972
54	44061	356495
55	44834	355472
56	45650	354796
57	46458	354046
58	47190	352725
59	48011	352081
60	48827	351397
61	49623	350565
62	50465	350054
63	51275	349315
64	51985	347903
65	52694	346508
66	53482	345641
67	54232	344536
68	55011	343619
69	55832	342969
70	56570	341814
71	57312	340693
72	58150	340138
73	58913	339150
74	59660	338078
75	60478	337406
76	61233	336386
77	62030	335603
78	62851	334944
79	63542	333598
80	64319	332715
81	65133	332022
82	65886	331018
83	66639	330025
84	67414	329143
85	68159	328116
86	68916	327157
87	69750	326557
88	70506	325596
89	71334	324968
90	72190	324460
91	72988	323689
92	73796	322959
93	74649	322421
94	75412	321496
95	76190	320634
96	77010	319949
97	77752	318943
98	78585	318311
99	79378	317512
100	80231	316953
101	81053	316266
102	81866	315543
103	82617	314582
104	83347	313547
105	84096	312583
106	84893	311806
107	85652	310885
108	86483	310229
109	87304	309533
110	88009	308428
111	88763	307501
112	89522	306596
113	90309	305786
114	91064	304869
115	91820	303957
116	92654	303305
117	93476	302611
118	94195	301584
119	94981	300774
120	95738	299874
121	96518	299049
122	97253	298087
123	98038	297278
124	98796	296389
125	99573	295560
126	100342	294706
127	101195	294098
128	101992	293326
129	102793	292567
130	103563	291717
131	104272	290699
132	105002	289745
133	105795	288964
134	106556	288096
135	107304	287197
136	108127	286499
137	108896	285656
138	109792	285144
139	110529	284217
140	111333	283466
141	112111	282646
142	112814	281640
143	113611	280873
144	114337	279929
145	115098	279075
146	115853	278206
147	116574	277258
148	117301	276327
149	118166	275721
150	118925	274868
151	119681	274006
152	120385	273030
153	121212	272333
154	122011	271573
155	122727	270629
156	123457	269719
157	124243	268931
158	125003	268088
159	125824	267377
160	126680	266737
161	127393	265796
162	128142	264932
163	128899	264085
164	129626	263180
165	130294	262158
166	131080	261376
167	131830	260523
168	132694	259891
169	133494	259135
170	134238	258272
171	134988	257419
172	135762	256615
173	136498	255738
174	137376	255127
175	138174	254366
176	138977	253613
177	139762	252828
178	140567	252078
179	141379	251340
180	142131	250496
181	142892	249669
182	143685	248897
183	144448	248075
184	145289	247385
185	146025	246515
186	146799	245711
187	147452	244708
188	148194	243854
189	148999	243104
190	149814	242369
191	150555	241515
192	151256	240599
193	152035	239807
194	152841	239059
195	153601	238238
196	154409	237492
197	155097	236562
198	155882	235781
199	156584	234877
200	157370	234099
201	158100	233238
202	158778	232301
203	159516	231454
204	160212	230550
205	160977	229744
206	161816	229044
207	162580	228238
208	163333	227416
209	164113	226632
210	164845	225783
211	165621	224995
212	166492	224334
213	167306	223596
214	168049	222763
215	168836	221989
216	169588	221168
217	170454	220496
218	171190	219655
219	171952	218848
220	172706	218031
221	173495	217259
222	174251	216446
223	175069	215710
224	175876	214960
225	176609	214119
226	177317	213249
227	178058	212420
228	178802	211595
229	179609	210846
230	180333	209999
231	181165	209277
232	181956	208508
233	182720	207707
234	183485	206909
235	184242	206102
236	185038	205337
237	185773	204506
238	186569	203743
239	187333	202944
240	188075	202122
241	188835	201320
242	189636	200562
243	190497	199865
244	191166	198968
245	191943	198185
246	192707	197389
247	193336	196455
248	194119	195678
249	194876	194876
250	195707	194148
251	196509	193389
252	197210	192533
253	197965	191730
254	198702	190910
255	199456	190107
256	200238	189330
257	201066	188597
258	201803	187778
259	202620	187034
260	203411	186265
261	204092	185397
262	204763	184520
263	205536	183737
264	206209	182865
265	206951	182054
266	207675	181229
267	208487	180482
268	209314	179745
269	210011	178898
270	210708	178052
271	211382	177188
272	212069	176336
273	212878	175586
274	213705	174849
275	214495	174083
276	215262	173297
277	216086	172558
278	216939	171840
279	217732	171075
280	218496	170287
281	219184	169440
282	220023	168710
283	220862	167980
284	221651	167210
285	222384	166399
286	223181	165636
287	224044	164921
288	224815	164138
289	225534	163318
290	226283	162519
291	227086	161760
292	227808	160942
293	228554	160143
294	229256	159313
295	230043	158543
296	230682	157672
297	231489	156915
298	232272	156142
299	233036	155357
300	233742	154534
301	234607	153815
302	235359	153022
303	236096	152219
304	236930	151479
305	237770	150743
306	238444	149901
307	239210	149118
308	240012	148357
309	240828	147604
310	241627	146841
311	242353	146033
312	243128	145255
313	243862	144453
314	244576	143640
315	245397	142889
316	246185	142119
317	246868	141289
318	247576	140474
319	248347	139695
320	249113	138913
321	249818	138098
322	250591	137320
323	251415	136571
324	252194	135796
325	252991	135032
326	253735	134239
327	254489	133451
328	255340	132715
329	256205	131984
330	256952	131193
331	257677	130391
332	258447	129611
333	259147	128797
334	259985	128052
335	260786	127288
336	261522	126492
337	262303	125719
338	263027	124918
339	263716	124101
340	264406	123286
341	265146	122494
342	265903	121711
343	266682	120937
344	267474	120169
345	268139	119345
346	268759	118501
347	269517	117720
348	270276	116939
349	271040	116160
350	271739	115353
351	272449	114552
352	273269	113797
353	273969	112993
354	274593	112157
355	275291	111353
356	275972	110543
357	276789	109787
358	277436	108965
359	278287	108222
360	279043	107443
361	279858	106686
362	280528	105874
363	281175	105054
364	281843	104243
365	282553	103448
366	283315	102672
367	284007	101872
368	284731	101083
369	285447	100292
370	286217	99520
371	286917	98724
372	287702	97957
373	288495	97193
374	289316	96438
375	290021	95645
376	290764	94864
377	291588	94110
378	292422	93359
379	293208	92592
380	293990	91823
381	294797	91063
382	295502	90271
383	296238	89488
384	297080	88738
385	297869	87971
386	298630	87196
387	299402	86425
388	300147	85646
389	300856	84856
390	301665	84095
391	302384	83309
392	303137	82533
393	303951	81773
394	304718	81001
395	305542	80243
396	306185	79438
397	306856	78641
398	307621	77869
399	308417	77104
400	309190	76333
401	310030	75579
402	310778	74802
403	311596	74042
404	312468	73295
405	313284	72533
406	313965	71741
407	314741	70971
408	315516	70200
409	316169	69403
410	316927	68628
411	317608	67838
412	318378	67067
413	319169	66300
414	320036	65549
415	320911	64799
416	321651	64021
417	322505	63266
418	323339	62507
419	324044	61722
420	324836	60954
421	325685	60197
422	326375	59411
423	327187	58646
424	327872	57859
